Rigid Short Tight;Rigid Short Large;Rigid Long Tight;Rigid Long Large;Intermediate Short Tight;Intermediate Short Large;Intermediate Long Tight;Intermediate Long Large;Deformable Short Tight;Deformable Short Large;Deformable Long Tight;Deformable Long Large
0;0;1;1;0;0;1;1;0;0;2;2
0;0;1;1;0;0;2;1;0;0;3;3
0;0;1;1;0;0;3;4;0;0;5;4
0;0;0;0;0;0;2;2;0;0;5;4.5
0;0;1;1;0;0;1;1;0;0;3;2
0;0;1;1;0;0;1;1;0;0;2;2
0;0;1;1;0;0;1;1;0;0;2;2
0;0;2;1;0;0;3;3;0;0;5;4
0;0;1;1;0;0;2;1;0;0;2;2
0;0;1;1;0;0;1;1;0;0;2;2
0;0;1;1;0;0;3;2;0;0;3;4
0;0;1;1;0;0;1;2;0;0;4;3
0;0;1;0;0;0;1;1;0;0;4;3
0;0;0;0;0;0;1;1;0;0;2;2
0;0;1;1;0;0;1;2;0;0;3;2
0;0;1;1;0;0;1;1;0;0;2;1
0;0;1;1;0;0;1;1;0;0;2;2
0;0;1;1;0;0;2;1;0;0;2;2
0;0;2;1;0;0;3;2;0;0;4;3
